rule_id,fitness,kind,period,displacement,final_bit_count,dq,dr
rule_001.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_002.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_003.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_004.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_005.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_006.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_007.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_008.json,0.0,still_life,1,0.0,5,0.0,0.0
rule_009.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_010.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_011.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_012.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_013.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_014.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_015.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_016.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_017.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_018.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_019.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_020.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_021.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_022.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_023.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_024.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_025.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_026.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_027.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_028.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_029.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_030.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_031.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_032.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_033.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_034.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_035.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_036.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_037.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_038.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_039.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_040.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_041.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_042.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_043.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_044.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_045.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_046.json,0.0,still_life,1,0.0,5,0.0,0.0
rule_047.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_048.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_049.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_050.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_051.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_052.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_053.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_054.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_055.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_056.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_057.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_058.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_059.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_060.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_061.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_062.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_063.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_064.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_065.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_066.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_067.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_068.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_069.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_070.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_071.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_072.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_073.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_074.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_075.json,0.0,still_life,1,0.0,5,0.0,0.0
rule_076.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_077.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_078.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_079.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_080.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_081.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_082.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_083.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_084.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_085.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_086.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_087.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_088.json,0.0,still_life,1,0.0,2,0.0,0.0
rule_089.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_090.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_091.json,0.0,decayed,0,0.0,0,0.0,0.0
rule_092.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_093.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_094.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_095.json,0.0,still_life,1,0.0,1,0.0,0.0
rule_096.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_097.json,0.0,still_life,1,0.0,3,0.0,0.0
rule_098.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_099.json,0.0,still_life,1,0.0,4,0.0,0.0
rule_100.json,0.0,decayed,0,0.0,0,0.0,0.0
